Order Date,Order ID,Invoice No,Product Name,SKU,Category,Sub Category,Customer ID,Customer,Customer Tier,Region,Sales Channel,Warehouse,Sales Rep,Qty,Unit Price,Unit Cost,Sales Amt,Gross Profit,Currency,Exchange Rate,Promotion,Order Status,Payment Terms,Return Reason,Delivery Days,Notes
2024-06-10,ORD-202406-000001,INV-202406-000001,Widget Delta,SKU004,Hardware,Tools,CUST01592,Robinson Trading,SMB,KwaZulu-Natal,Wholesale,Cape Town DC,T. Mokoena,15,300.43,206.72,4506.45,1405.65,ZAR,1.0,None,Completed,Net 45,,11,VIP customer
2024-12-17,ORD-202412-000002,INV-202412-000002,Widget Nova,SKU007,Accessories,Batteries,CUST00872,Hancock Trading,SMB,Gauteng,Wholesale,Cape Town DC,L. van Wyk,46,124.37,71.36,5721.02,2438.46,ZAR,1.0,None,Completed,Net 15,,5,manual correction
2025-11-18,ORD-202511-000003,INV-202511-000003,Widget Beta,SKU002,Hardware,Fasteners,CUST00815,Carroll Trading,SMB,Limpopo,Distributor,Johannesburg DC,A. Petersen,25,90.14,52.59,0,938.75,ZAR,1.0,None,Completed,Net 15,,11,
2024/09/01,ORD-202409-000004,INV-202409-000004,Widget Flux,SKU006,Accessories,Cables,CUST00510,Walker Trading,Mid-Market,Gauteng,Wholesale,Cape Town DC,N. Dlamini,0,48.93,23.95,0.0,0.0,ZAR,1.0,None,Cancelled,Net 30,,10,manual correction
2024-12-31,ORD-202412-000005,INV-202412-000005,Widget Beta,SKU002,Hardware,Fasteners,CUST00942,Erickson Trading,SMB,KwaZulu-Natal,Ecommerce,Pretoria Hub,S. Naidoo,9,R94.40,53.79,849.6,365.49,ZAR,1.0,None,Completed,Net 45,,6,
2025/12/14,ORD-202512-000006,INV-202512-000006,Widget Rift,SKU011,Packaging,Boxes,CUST01566,Norris Trading,Mid-Market,KwaZulu-Natal,Wholesale,Durban Hub,L. van Wyk,107,16.54,8.38,1769.78,873.12,USD,19.0327,None,Completed,Net 60,,8,
2024-05-20,ORD-202405-000007,INV-202405-000007,Widget Alpha,SKU001,Hardware,Fasteners,CUST01519,"Tran, Nichols and Mcmillan",Key Account,Western Cape,Retail,Cape Town DC,A. Petersen,28,74.79,45.97,2094.12,806.96,USD,18.8756,Summer Promo,Completed,COD,,12,VIP customer
2024-09-11,ORD-202409-000008,INV-202409-000008,Widget Rift,SKU011,Packaging,Boxes,CUST01734,"Williams, Wolfe and Brooks",Enterprise,Free State,Ecommerce,Cape Town DC,T. Mokoena,35,16.74,7.84,585.9,311.50,ZAR,1.0,None,Completed,Net 60,,7,promo order
2025-03-10,ORD-202503-000009,INV-202503-000009,Widget Delta,SKU004,Hardware,Tools,CUST00952,Chapman Group,Enterprise,Western Cape,Distributor,Cape Town DC,N. Dlamini,48,258.94,202.39,12429.12,2714.4,ZAR,1.0,Launch Campaign,Completed,Net 45,,10,VIP customer
2025-09-01,ORD-202509-000010,INV-202509-000010,Widget Echo,SKU005,Accessories,Cables,CUST00295,Rodriguez Trading,Mid-Market,KwaZulu-Natal,Distributor,Pretoria Hub,S. Naidoo,43,32.11,18.46,1380.73,586.95,ZAR,1.0,None,Completed,Net 60,,18,manual correction
2024-03-13,ORD-202403-000011,INV-202403-000011,Widget Quantum,SKU010,Electronics,Controllers,CUST01297,Nunez-Livingston,Key Account,Eastern Cape,Retail,Cape Town DC,T. Mokoena,10,660.63,535.15,6606.3,1254.8,ZAR,1.0,Launch Campaign,Completed,COD,,20,
