customer_id,customer_name,customer_tier,region,channel_preference,payment_terms,account_manager
CUST00001,Schneider Trading,Mid-Market,Gauteng,Ecommerce,Net 15,S. Naidoo
CUST00002,Williams Trading,SMB,Gauteng,Retail,Net 60,L. van Wyk
CUST00003,Cruz Trading,SMB,Gauteng,Wholesale,Net 15,A. Petersen
CUST00004,Dyer Trading,Mid-Market,Free State,Wholesale,Net 60,L. van Wyk
CUST00005,Powell Trading,SMB,Free State,Ecommerce,COD,S. Naidoo
CUST00006,Alexander Trading,Mid-Market,KwaZulu-Natal,Ecommerce,Net 15,S. Naidoo
CUST00007,Patterson-Garcia,Key Account,KwaZulu-Natal,Retail,COD,L. van Wyk
CUST00008,Adkins Trading,SMB,KwaZulu-Natal,Ecommerce,COD,L. van Wyk
CUST00009,Pollard Trading,SMB,Eastern Cape,Retail,Net 60,T. Mokoena
CUST00010,Hunt-Strong,Enterprise,Free State,Ecommerce,Net 60,S. Naidoo
CUST00011,Hebert Trading,Mid-Market,Gauteng,Wholesale,Net 30,N. Dlamini
CUST00012,Hoffman and Sons,Enterprise,Gauteng,Distributor,Net 30,L. van Wyk
CUST00013,Bates Trading,Mid-Market,KwaZulu-Natal,Wholesale,Net 30,T. Mokoena
CUST00014,Johnson Trading,SMB,KwaZulu-Natal,Retail,Net 60,S. Naidoo
CUST00015,Richardson Trading,SMB,Western Cape,Wholesale,Net 45,L. van Wyk
CUST00016,Small Trading,SMB,Limpopo,Wholesale,Net 30,N. Dlamini
CUST00017,Cameron Trading,SMB,Gauteng,Ecommerce,Net 45,T. Mokoena
CUST00018,Smith Trading,SMB,Free State,Ecommerce,Net 15,L. van Wyk
CUST00019,King Trading,SMB,Limpopo,Distributor,Net 15,T. Mokoena
CUST00020,Jimenez Trading,SMB,Limpopo,Ecommerce,Net 60,L. van Wyk
CUST00021,"Henson, Lee and Guerra",Enterprise,Eastern Cape,Ecommerce,Net 15,S. Naidoo
CUST00022,Garner Trading,SMB,Gauteng,Retail,COD,S. Naidoo
CUST00023,White Trading,Mid-Market,Limpopo,Distributor,Net 60,N. Dlamini
CUST00024,Ross Trading,SMB,Free State,Distributor,Net 60,T. Mokoena
